name,author,rating,genre,pages,cost,stock,review
My Man Jeeves,PG Woodhouse,4.07,comedy,178,292,12,"Stories of rich men being nice to their fellow rich friends, or deceiving their rich families, are everywhere. That there is an inherent goodness in Wooster (or his doppelganger, Pepper--Wodehouse switches protagonists & they are pretty identical other than by name, which is indeed part of the theme that all aristocrats are equally dim) may be the takeaway here, in these modern times. Jeeves is the perpetual Everyman, trapped in a world hes too good for, being appreciated & always adulated by the Gods; remaining in that constant position, always in some unworthy persons life (tragically so)."
Harry Potter,J.K.Rowling,3.85,fictional,324,399,74,"Harry Potter was given a scar by Voldemort the night his parents sacrificed themselves. And from that night onwards, he was no longer an ordinary boy but the Boy who lived. When Harry turns 11, he receives a letter from Hogwarts, a school for witchcraft and magic. He is very excited to go there and escape his cruel aunt and uncle. And soon, Hogwarts becomes his home, a place where he could be himself, explore his capabilities, make new friends, and find happiness. But this happiness is short-lived, as Voldemort wants to finish what he had started eleven years ago-to kill Harry. However, his friends will not let this happen. They are there to support him and protect him. And so begins the journey of Harry, from learning wizardry to excelling in Quidditch, making friends, finding love, and even flying cars!"
The Bourne Ultimatum,Robert Ludlum,4.06,action-thriller,754,342,10,"Now David Webb, professor of Oriental studies, husband, and father, must do what he hoped he would never have to do again: assume the terrible identity of Jason Bourne. His plan is simple: to infiltrate the politically and economically Medusan group and use himself as bait to lure the cunning Jackal into a deadly trap, a trap from which only one of them will escape themselves."
The Bourne Supremacy,Robert Ludlum,4,action-thriller,690,935,2,"The Bourne Supremacy is a smooth thriller for grown-ups with lots of chase scenes and action scenes, but the mood is dark, even grim. The dialogue is smart but not smart-alecky. Instead of flashy fights where one dazzling kick to the throat knocks the bad guy out, the battles are messy and breathless and brutal."
Ponniyin Selvan,Kalki Krishnamurthy,4.98,drama,3430,700,1,"There’s the brilliant storytelling, that makes even this long novel that spans 500 chapters, 2,400 pages, an un-put-downable book. The tense verbal fencing and pithy dialogue that sparkles and shines in every conversation.The never-ending cast with their unique personalities and characters – some noble, others dastardly, some ferocious, others cunning, some foolhardy, others ruthless. And there is the use of so many literary devices that make it an intriguing, gripping read. Cliff-hangers end each chapter. Emotions surge and swell as opponents pit wits and weapons, strategize, and conspire against each other."
To Kill a Mockingbird,Harper Lee,4.27,Fiction,331,199,3,It is one of the most brilliant books to have been written and is a great novel that shows racism in the light that it should be shown in. I would recommend this book to almost anyone who is interested in reading and understands the context in which the story has been written
The Diary of a Young Girl,Anne Frank,4.18,History,349,129,4,"This book was interesting because it is a real diary. My favourite character is Anne because she had a lot of courage. Anne Frank and her family were killed except for Otto Frank, Anne's father, who later on found her diary and published it, making it a world wide wonder! The writing style was easy to read."
Animal Farm, George Orwell,3.98,Classics,99,135,15,"Animal Farm is a great a depiction of the Russian Revolution of 1917 and the USSR. It shows how the leaders manipulates public over their believes (sometimes which are wrong). Animal Farm is an engaging eye-opening book that highlights the issues about betrayal, greed and inequality in human society."
The Little Prince,Antoine de Saint-Exupery,4.32,Fantasy,100,178,2,"The Little Prince is an honest and beautiful story about loneliness, friendship, sadness, and love. The prince is a small boy from a tiny planet (an asteroid to be precise), who travels the universe, planet-to-planet, seeking wisdom. On his journey, he discovers the unpredictable nature of adults."
The Great Gatsby,F. Scott Fitzgerald,3.93,Romance,145,127,67,"Gatsby holds a dark secret about his past and how he became so great, a deep lust that will eventually lead to his demise. The Great Gatsby is in many ways similar to Romeo and Juliet, yet I believe that it is so much more than just a love story. It is also a reflection on the hollowness of a life of leisure."
The Catcher in the Rye,J.D. Salinger,3.98,Literature,116,225,99,"The Catcher in the Rye is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind."
The Lord of the Rings,J.R.R. Tolkien,4.52,Fantasy,1209,690,22,"When reading through this book, I found myself completely immersed in the story. Tolkien does a marvelous job with engaging readers in his story. The world he has created is described in such animated detail, that nearly anyone can get hooked on his story."
The Book Thief,Markus Zusak ,4.39,Historical Fiction,177,249,0,"The Book Thief tells the story of Liesel, a little girl who is taken to a new home because her mother can't afford to take care of her. The story is told by Death, who becomes a character you come to respect and even feel sorry for by the end. The narration puts an odd perspective on the story"
Jane Eyre,Charlotte Bronte,4.14,Romance,279,229,20,"Its protagonist and title character is a feisty, principled woman who was brought up in hardship with little love and affection, and throughout the novel, seeks a place where she can be at peace"
Lord of the Flies,William Golding,3.69,Classics,196,278,5,"It is not only a tale of boys surviving after their plane crashed on a deserted island; it is an allegorical novel about the conflicts between savagery and civilization. The significant symbolism which is rather easy to comprehend, made it one of the most popular and admired books in history."
d,a,4,fiction, ,0,0,good book
